Date; Open; High; Low; Close; Moving Average 14
15.08.2012 0:00:00;13157.47;13192.89;13138.23;13164.78;13103.19
16.08.2012 0:00:00;13163.24;13269.35;13145.85;13250.11;13115.65
17.08.2012 0:00:00;13251.20;13281.32;13244.85;13275.20;13130.10
20.08.2012 0:00:00;13274.58;13276.15;13230.06;13271.64;13148.88
21.08.2012 0:00:00;13272.10;13330.76;13186.60;13203.58;13165.49
22.08.2012 0:00:00;13198.31;13205.06;13120.34;13172.76;13186.48
23.08.2012 0:00:00;13171.37;13171.37;13046.46;13057.46;13183.71
24.08.2012 0:00:00;13052.82;13175.51;13027.20;13157.97;13186.60
27.08.2012 0:00:00;13157.74;13176.17;13115.46;13124.67;13183.47
28.08.2012 0:00:00;13122.74;13147.32;13081.12;13102.99;13178.28
29.08.2012 0:00:00;13103.46;13144.81;13081.27;13107.48;13174.15
30.08.2012 0:00:00;13101.29;13101.37;12978.91;13000.71;13159.35
31.08.2012 0:00:00;13002.72;13151.87;13002.64;13090.84;13153.74
04.09.2012 0:00:00;13092.15;13092.39;12977.09;13035.94;13144.01
05.09.2012 0:00:00;13036.09;13095.91;13018.74;13047.48;13135.63
06.09.2012 0:00:00;13045.23;13294.13;13045.08;13292.00;13138.62
07.09.2012 0:00:00;13289.53;13320.27;13266.22;13306.64;13140.87
10.09.2012 0:00:00;13308.56;13324.10;13251.39;13254.29;13139.63
11.09.2012 0:00:00;13254.60;13354.34;13253.21;13323.36;13148.19
12.09.2012 0:00:00;13321.62;13373.62;13317.52;13333.35;13159.66
13.09.2012 0:00:00;13329.71;13573.33;13325.11;13539.86;13194.11
14.09.2012 0:00:00;13540.40;13653.24;13533.94;13593.37;13225.21
17.09.2012 0:00:00;13588.57;13593.15;13526.67;13553.10;13255.82
18.09.2012 0:00:00;13552.33;13582.12;13517.81;13564.64;13288.79
19.09.2012 0:00:00;13565.41;13626.48;13556.74;13577.96;13322.40
20.09.2012 0:00:00;13575.17;13599.02;13503.00;13596.93;13364.98
21.09.2012 0:00:00;13597.24;13647.10;13571.53;13579.47;13399.88
24.09.2012 0:00:00;13577.85;13601.90;13521.68;13558.92;13437.24
25.09.2012 0:00:00;13559.92;13620.21;13457.25;13457.55;13466.53
26.09.2012 0:00:00;13458.63;13480.37;13406.91;13413.51;13475.21
27.09.2012 0:00:00;13413.47;13522.83;13413.47;13485.97;13488.02
28.09.2012 0:00:00;13485.89;13487.66;13367.27;13437.13;13501.08
01.10.2012 0:00:00;13437.66;13598.25;13437.66;13515.11;13514.78
02.10.2012 0:00:00;13515.30;13567.06;13424.92;13482.36;13525.42
03.10.2012 0:00:00;13479.21;13536.27;13439.12;13494.61;13522.19
04.10.2012 0:00:00;13495.18;13594.33;13495.18;13575.36;13520.90
05.10.2012 0:00:00;13569.18;13661.87;13568.75;13610.15;13524.98
08.10.2012 0:00:00;13610.38;13610.38;13552.09;13583.65;13526.33
09.10.2012 0:00:00;13582.88;13592.33;13473.31;13473.53;13518.88
10.10.2012 0:00:00;13473.53;13478.83;13327.62;13344.97;13500.88
11.10.2012 0:00:00;13346.28;13428.49;13326.12;13326.39;13482.80
12.10.2012 0:00:00;13325.62;13401.32;13296.43;13328.85;13466.37
15.10.2012 0:00:00;13329.54;13437.66;13325.93;13424.23;13463.99
16.10.2012 0:00:00;13423.84;13556.37;13423.76;13551.78;13473.86
17.10.2012 0:00:00;13539.63;13561.65;13468.90;13557.00;13478.94
18.10.2012 0:00:00;13553.24;13588.73;13510.93;13548.94;13486.92
19.10.2012 0:00:00;13545.33;13545.49;13312.22;13343.51;13474.67
22.10.2012 0:00:00;13344.28;13368.55;13235.15;13345.89;13464.92
23.10.2012 0:00:00;13344.90;13344.90;13083.28;13102.53;13436.91
24.10.2012 0:00:00;13103.53;13155.21;13063.63;13077.34;13401.34
25.10.2012 0:00:00;13079.64;13164.52;13039.86;13103.68;13365.16
26.10.2012 0:00:00;13104.22;13151.72;13040.17;13107.21;13331.13
31.10.2012 0:00:00;13107.44;13189.08;13052.07;13096.46;13304.20
01.11.2012 0:00:00;13099.19;13273.71;13099.11;13232.62;13296.17
02.11.2012 0:00:00;13233.39;13289.45;13076.57;13093.16;13279.51
05.11.2012 0:00:00;13092.28;13140.58;13038.71;13112.44;13264.06
06.11.2012 0:00:00;13113.89;13290.75;13112.90;13245.68;13251.30
07.11.2012 0:00:00;13228.24;13228.32;12876.60;12932.73;13207.08
08.11.2012 0:00:00;12932.81;12980.23;12811.24;12811.32;13153.82
09.11.2012 0:00:00;12811.17;12890.19;12743.39;12815.39;13101.43
12.11.2012 0:00:00;12815.93;12861.28;12783.00;12815.16;13063.69
13.11.2012 0:00:00;12808.71;12898.25;12748.51;12756.18;13021.56
14.11.2012 0:00:00;12746.54;12797.73;12542.68;12570.95;12983.59
15.11.2012 0:00:00;12571.10;12600.59;12496.56;12542.38;12945.38
16.11.2012 0:00:00;12542.31;12604.17;12471.49;12588.31;12908.57
19.11.2012 0:00:00;12590.23;12796.19;12590.23;12795.96;12886.34
20.11.2012 0:00:00;12790.89;12808.56;12701.07;12788.51;12864.34
21.11.2012 0:00:00;12788.36;12845.99;12786.13;12836.89;12836.08
23.11.2012 0:00:00;12833.13;13011.45;12832.98;13009.68;12830.11
26.11.2012 0:00:00;13008.30;13008.45;12900.17;12967.37;12819.75
27.11.2012 0:00:00;12963.38;12980.19;12868.26;12878.13;12793.50
